id,Артикул,Название,missing_fields,Ссылка
82155,1207-0476,Ф ФИГУРА Медвежонок девочка,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/baby-bear-fucgsia-1207-0476/
82156,1207-0477,Ф ФИГУРА Медвежонок мальчик,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/baby-bear-blue-1207-0477/
82179,1207-0468,Ф ФИГУРА Лев,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/big-lion-1207-0468/
82226,1207-0417,Ф ФИГУРА Петух,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/cock-1207-0417/
82241,1207-0399,Ф ФИГУРА Бутылка шампанского,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/champagle-bottle-1207-0399/
82380,1207-0034,А ФИГУРА/P30 Бабочка яркая,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/s-shape-bright-butterfly-1207-0034/
82646,1207-1410,Ф ФИГУРА Вертолет милитари,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/helicopter-military-1207-1410/
82809,1207-1500,Ф ФИГУРА Тигренок,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/tiger-cup-black-1207-1500/
82811,1207-1502,Ф ФИГУРА Сердце с мишкой ILY,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/bear-love-much-1207-1502/
82844,1207-1543,А ФИГУРА/P38 Минни танцующая,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/lrg-shpi-xl-minnie-full-body-1207-1543/
82868,1207-1527,А ФИГУРА/P38 Микки танцующий,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/lrg-shpi-xl-mickey-full-body-1207-1527/
83034,1207-1278,Ф ФИГУРА Истребитель милитари,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/superfighter-military-1207-1278/
83171,1207-2157,Г ФИГУРА Маша на велосипеде,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/39-biking-masha-1207-2157/
83188,1207-2055,А ФИГУРА/P40 Елочка милая,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/ult-shp-christmas-tree-with-star-1207-2055/
83195,1207-2073,А ФИГУРА/P38 Щенячий Патруль,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/lrg-shpi-paw-patrol-1207-2073/
83197,1207-2048,Ф ФИГУРА Снеговик весёлый,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/snowman-1207-2048/
83201,1207-2033,А ФИГУРА/P35 Леденец полосатый,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/lrg-shpi-xl-holiday-candy-cane-1207-2033/
